|||expanded_form|REL|RU|Related, unspecified|
|||expanded_form|REL|XR|Not related|
|||expanded_form|STT|VC|Case variant of the preferred form|
|||expanded_form|ATN|HPI|HCPCS Pricing Indicator Code - used to identify the appropriate methodology for developing unique pricing amounts under Part B.|
|||expanded_form|ATN|HPN|HCPCS processing note number identifying the processing note contained in Appendix A of the HCPCS Manual. |
|||expanded_form|ATN|HSN|HCPCS Statute Number identifying statute reference for coverage or noncoverage of procedure or service. |
|||expanded_form|ATN|HTD|HCPCS Termination Date - last date for which a procedure or code may be used by Medicare Providers. |
|||expanded_form|ATN|HTS|HCPCS Type of Service Code - carrier assigned HCFA Type of Service which describes the particular kind(s) of service represented by the procedure code.|
|||expanded_form|ATN|HXR|HCPCS Cross reference code - an explicit reference crosswalking a deleted code or a code that is not valid for Medicare to a valid current code (or range of codes).|
|||expanded_form|ATN|IAA|ICD10AM Abbreviated Descriptor|
|||expanded_form|ATN|IAC|ICD10AM Australian Code - Contains a flag "1" for codes that have been exclusively developed in Australia.|
|||expanded_form|ATN|IAD|ICD10AM Effective from - indicates the date that the code is effective from.|
|||expanded_form|ATN|IAH|ICD10AM Age Edit, higher limit - minimum age is expressed as a three digit field.|
|||expanded_form|ATN|IAL|ICD10AM Age Edit, lower limit - minimum age is expressed as a three digit field.|
|||expanded_form|ATN|IAN|ICD10AM Annotation Note - a + (Dagger) denotes a code describing the etiology or underlying cause of the disease; an * (asterisk) denotes a code describing the manifestation of a disease|
|||expanded_form|ATN|IAR|ICD10AM Relationship Note - code embedded in the term, may have a * or +.|
|||expanded_form|ATN|IAS|ICD10AM Sex Edit flag to indicate whether the code is valid for a particular sex. Sex flags are 1 (male) or 2 (female).|
|||expanded_form|ATN|IAT|ICD10AM Sex Edit Type - all sex flagged codes are followed by a "sex edit type" flag. The sex edit type flags are 1 (fatal) or 2 (warning). |
|||expanded_form|ATN|IAY|ICD10AM Age Edit Type - all age flagged codes are followed by an age edit type flag. The age edit type flags are 1 (fatal) or 2 (warning). |
|||expanded_form|ATN|ICA|ICD Additional Codes Note - an ICD-9-CM instruction to signal the coder that an additional code should be used if the information is available to provide a more complete picture of that diagnoses or procedure.|
|||expanded_form|ATN|ICC|ICD Codes Also Note - an ICD-9-CM instruction to signal the coder to code additional information.|
|||expanded_form|ATN|ICE|ICD Entry Term (e.g. Diarrhea:{dysenteric; epidemic}; Infectious diarrheal disease)|
|||expanded_form|ATN|ICF|ICD Fifth-digit Code Note - instruction to coders indicating use of a fifth-digit code.|
|||expanded_form|ATN|ICN|ICD Note - instruction providing additional coding information.|
|||expanded_form|ATN|ICS|ICD Short Form - 25-character version of the code.|
|||expanded_form|ATN|II|MeSH Indexing Information - for MeSH chemical terms (Term Type=NM), MeSH headings that may be relevant to articles that are also assigned the NM term.|
|||expanded_form|ATN|INC|ICD10AM Neoplasm code (e.g. C34.- )|
|||expanded_form|ATN|IPX|ICD10 code related to an ICPC code - a + indicates that the ICD10 code is broader than the ICPC code; a - indicates that the ICD10 code is narrower than the ICPC code. |
|||expanded_form|ATN|IXR|ICPC2E to ICD10 Cross Reference (e.g. ICD10: Q60, Q61, Q62, Q63, Q64)|
|||expanded_form|ATN|JXR|OMIM code that is related to Jablonski term.|
|||expanded_form|ATN|LAC|ASTM Code - E1238-94 code for a test in a LOINC name.|
|||expanded_form|ATN|LAL|LOINC Answerlist - list of answers for results that are reportable from a multiple choice list, e.g., the answers for the term DISPOSITION OF BLOOD PACK are GIVEN;PARTIALLY GIVEN;DISCARDED. |
|||expanded_form|ATN|LCA|LOINC ACSSYM field - LOINC chemical name synonyms, alternative names and chemical formulae from the Chemical Abstract Society. |
|||expanded_form|ATN|LCB|LOINC Chemical base name from the Chemical Abstract Society. |
|||expanded_form|ATN|LCC|LOINC CDC Code - code from the Centers for Disease Control Complexity file that maps a laboratory test to the instruments used to perform the test. The code is at the analyte level, not at the test instrument level. |
|||expanded_form|ATN|LCI|LOINC Molecular structure ID, usually a Chemical Abstract Society number. |
|||expanded_form|ATN|LCL|LOINC Class - arbitrary classification of terms in LOINC designed to assist LOINC development and to group related observations together (e.g. ABXBACT = Antibiotic susceptibility) |
|||expanded_form|ATN|LCN|LOINC Classtype - 1 = Laboratory class; 2 = Clinical class|
|||expanded_form|ATN|LCR|LOINC Reason for Change - a brief explanation of the change made to a LOINC term. |
|||expanded_form|ATN|LCS|LOINC Depreciated or superseded status - an indicator that a LOINC term is no longer to be used. The term that should now be used will appear in the LMP element. |
|||expanded_form|ATN|LCT|LOINC Change Type Code - type of change made to a LOINC term. |
|||expanded_form|ATN|LDE|LOINC DEEDS_CD - Data Elements for Emergency Department Systems Codes (CDC). This field contains the DEEDS code value which maps to the LOINC code in question. |
|||expanded_form|ATN|LEA|LOINC Example Answers - for some tests and measurements, LOINC has supplied examples of valid answers. These values differ from those in the ANSWERLIST field because that details possible values for nominal scale terms. |
|||expanded_form|ATN|LEC|LOINC Analyte Code - EUCLIDES code for the analyte which is the first subpart of the first part of a LOINC name. |
|||expanded_form|ATN|LFO|LOINC Formula - regression equation details for many OB.US calculated terms. |
|||expanded_form|ATN|LFR|French name for LOINC term supplied by Centre Suisse de Controle de Qualite. This field contains extended characters and will not transfer to 7-bit systems. |
