NON_CHEM_STY|filter_type|designates a non-chemical sty.|
NORM_EXCLUDE_LIST|filter_type|remove facts having termgroups on the mom_norm_exclude_list (but only LUI matches).|
NORM|string_match|LUI match only|
NOT|code_match|Different codes only|
NOT|string_match|Non-matches only|
NO_FILTER|filter_type|used to make a binary filter a unary filter.|
NRM|merge_level|Facts based on norm matches.|
N|ic_state| |
N|integrity_vector|no check|
PP|coc_type|Co-occurrence of two problems within a patient record|
P|violations_vector|passed|
RE|molecular_action|MOLECULAR_REDO|
R|table_name|relationships|
R|violations_vector|repaired|
SAFE_REPLACEMENT|filter_type|remove facts involving safe-replacement atoms.|
SA|table_name|source_attributes|
SCR|table_name|source_context_relationships|
SCS|table_name|source_concept_status|
SC|table_name|source_classes_atoms|
SNAPSHOT|work_type|Work done by MEME_INTEGRITY.integrity_snaphot.|
SOURCE_ATOM_ID|sg_type|indicates that a generic id field contains a source_atom_id.|
SOURCE|filter_type|designates a source field.|
SP|molecular_action|MOLECULAR_SPLIT|
SR|table_name|source_relationships|
STATUS|filter_type|used to filter by status.|
SEMANTIC_TYPE|filter_type|designates a semantic type.|
SY|merge_level|Synonymy facts.|
S|action_field|status|
S|atomic_action|change_status|
S|batch_action_code|S|
S|batch_action|MOLECULAR_CHANGE_STATUS|
S|macro_action|MACRO_CHANGE_STATUS|
S|violations_vector|stale|
TERMGROUP|filter_type|designates a termgroup field.|
T|action_field|tobereleased|
T|atomic_action|change_tobereleased|
T|batch_action_code|T|
T|batch_action|MOLECULAR_CHANGE_TOBERELEASED|
T|macro_action|MACRO_TOBERELEASED|
UN|molecular_action|MOLECULAR_UNDO|
V|violations_vector|violation|
W|integrity_vector|warn|
W|violations_vector|warning|
action_field|valid_code_type|Map of action names to valid molecular_actions.action_field values.|
atomic_action|valid_code_type|Abbreviation of an atomic action.|
attributes|primary_key|attribute_id|
batch_action_code|valid_code_type|Map of action names to batch_action codes.|
batch_action|valid_code_type|Map of batch_actions codes to batch_action names.|
classes|primary_key|atom_id|
coc_type|valid_code_type|Valid values for MRCOC.COT.  Also used in coc_headings.|
code_match|valid_code_type|Code representing a match type when comparing codes|
concept_status|primary_key|concept_id|
context_relationships|primary_key|relationship_id|
filter_type|valid_code_type|Code representing a type of data used in filtering or ic checks, also used for the type fields in ic_single, ic_pair.|
ic_state|valid_code_type|Map of integrity vector codes to violations vector codes.|
integrity_check|valid_code_type|Code representing an integrity check. The value is the procedure name in MEME_INTEGRITY.|
integrity_vector|valid_code_type|Code for a vector of integrity checks to apply.|
macro_action|valid_code_type|Map of macro_actions codes to macro_action names.|
map_sg_type|valid_code_type|Code representing a type of id that is tracked by the sg core tables and must be periodically re-mapped.|
merge_inhibitor|valid_code_type|Code representing a merge inhibitor.|
merge_level|valid_code_type|Valid levels for merge sets, used for sorting facts of different types. |
molecular_action|valid_code_type|Abbreviation of a molecular action.|
primary_key|valid_code_type|A map of table names to key fields.|
relationships|primary_key|relationship_id|
sg_type|valid_code_type|Code representing valid types of ids, used in src files.|
snapshot_procedure|valid_code_type|Mapping between merge inhibitors and snapshot procedures|
string_match|valid_code_type|Code representing a match type when comparing strings.|
table_name|valid_code_type|Abbreviation for a core table.|
valid_code_type|valid_code_type|A valid type for a code to have.|
violations_vector|valid_code_type|Code for a vector of integrity violations.|
work_type|valid_code_type|Code representing a valid type of work, for the meme_work table|
DT_M1A|integrity_check|missing_sty_matrixinit|
DT_I14|integrity_check|nothing|
DT_MM4|integrity_check|nothing|
AA|table_name|atomic_actions|
ATOM_ID|sg_type|indicates that a generic id field contains an atom_id|
A|action_field|atom_id|
A|atomic_action|change_atom_id|
A|batch_action_code|A|
A|batch_action|MOLECULAR_CHANGE_ATOM_ID|
A|macro_action|MACRO_CHANGE_ATOM_ID|
A|table_name|attributes|
BOTH|string_match|LUI or exact match|
CA|molecular_action|MOLECULAR_CONCEPT_APPROVAL|
CF|action_field|dummy|
CF|atomic_action|change_field|
CF|batch_action|MOLECULAR_CHANGE_FIELD|
CF|macro_action|MACRO_CHANGE_FIELD|
CF|molecular_action|MOLECULAR_CHANGE_FIELD|
CHANGE_ATOM_ID|batch_action_code|A|
CHANGE_FIELD|batch_action_code|CF|
CHANGE_STATUS|batch_action_code|S|
CHANGE_TOBERELEASED|batch_action_code|T|
CHEM_STY|filter_type|designates a chemical sty.|
CODE_SOURCE|map_sg_type|Codes must be re-mapped as sources are replaced.|
CODE_SOURCE|sg_type|indicates that a generic id field contains an code and some auxiliary field contains the source of that code.|
CODE_STRIPPED_SOURCE|map_sg_type|CODE_SOURCE with a stripped source.|
CODE_STRIPPED_TERMGROUP|map_sg_type|CODE_TERMGROUP with termgroups like MSH/MH|
CODE_TERMGROUP|map_sg_type|Codes must be re-mapped as sources are replaced.|
CODE_TERMGROUP|sg_type|indicates that a generic id field contains an code and some auxiliary field contains the termgroup of that code.|
CONCEPT_ID|sg_type|indicates that a generic id field contains a concept_id|
CR|table_name|context_relationships|
CS|batch_action_code|S|
CS|molecular_action|MOLECULAR_CHANGE_STATUS|
CS|table_name|concept_status|
CT|batch_action_code|T|
CT|molecular_action|MOLECULAR_CHANGE_TOBERELEASED|
CUI_STRIPPED_SOURCE|map_sg_type|CUI values within a root source|
CUI_ROOT_SOURCE|map_sg_type|CUI values within a root source|
CUI_SOURCE|map_sg_type|CUI values within a source|
CUI|map_sg_type|CUI values must be re-mapped as sources are replaced.|
CUI|sg_type|indicates that a generic id field contains a CUI.|
C|action_field|concept_id|
C|atomic_action|change_concept_id|
C|batch_action_code|C|
C|batch_action|MOLECULAR_MOVE|
C|integrity_vector|check|
C|macro_action|MACRO_MOVE|
C|table_name|classes|
DELETE|batch_action_code|D|
DE|integrity_vector|delay and enforce|
DT_I10|integrity_check|msh_mh_diff|
DT_I11|integrity_check|sfo_lfo|
DT_I12|integrity_check|nh_sty|
DT_I13|integrity_check|separated_pm|
DT_I2|integrity_check|auto_merged|
DT_I3B|integrity_check|nothing|
DT_I3|integrity_check|demotions|
DT_I4|integrity_check|pir|
DT_I5|integrity_check|non_human|
DT_I6|integrity_check|nothing|
DT_I8AXR|integrity_check|xr_msh_d_orphan|
DT_I8A|integrity_check|msh_d_orphan|
DT_I8BXR|integrity_check|xr_msh_q_orphan|
DT_I8B|integrity_check|msh_q_orphan|
DT_I8CXR|integrity_check|xr_msh_c_orphan|
DT_I8C|integrity_check|msh_c_orphan|
DT_I9|integrity_check|msh_et_synonym|
DT_M1|integrity_check|missing_sty|
DT_M2|integrity_check|true_orphan|
DT_M3|integrity_check|empty_concepts|
DT_MM1|integrity_check|ambig_no_rel|
DT_MM2|integrity_check|nothing|
DT_MM3|integrity_check|mm_no_ambig|
DT_PN1|integrity_check|ambig_no_pn|
DT_PN2|integrity_check|multiple_pn|
DT_PN3|integrity_check|nothing|
DT_PN4|integrity_check|pn_pn_ambig|
DW|integrity_vector|delay and warn|
D|action_field|dead|
D|atomic_action|delete|
D|batch_action_code|D|
D|batch_action|MOLECULAR_DELETE|
D|macro_action|MACRO_DELETE|
D|molecular_action|MOLECULAR_DELETE|
EDITING|work_type|Work done by editors on worklists.|
EXACT|code_match|Same codes only|
EXACT|string_match|Case-insensitive exact match only|
EXCLUDE_LIST|filter_type|remove facts having termgroups on the mom_exclude_list.|
E|ic_state|V|
E|integrity_vector|enforce|
INITIALIZE|work_type|Work done by initialization processes.|
INSERTION|work_type|Insertion of a new or update source.|
INSERT|batch_action_code|I|
I|action_field|dead|
I|atomic_action|insert|
I|batch_action_code|I|
I|batch_action|MOLECULAR_INSERT|
I|macro_action|MACRO_INSERT|
I|molecular_action|MOLECULAR_INSERT|
KN|coc_type|A negative association in a knowledge base|
KP|coc_type|A positive association in a knowledge base|
LQB|coc_type|A MSH Q#-D# co-occurrence|
LQ|coc_type|A MSH D#-Q# co-occurrence|
L|coc_type|A MSH D#-D# co-ocurrence|
MACRO_CHANGE_ATOM_ID|batch_action_code|A|
