[M] Cutaneous lymphoma|28054005|
[M] Desmoplastic melanoma, malignant|51757004|
[M] Intracystic carcinoma NOS|189715000|
[M]Acute leukemia NOS|24072005|
[M]Adenocarcinoma NOS|189582009|
[M]Adenocarcinoma, metastatic, NOS|189584005|
[M]Adenofibroma NOS|2962009|
[M]Adenoma NOS|189579004|
[M]Adenomatoid tumor NOS|189835008|
[M]Adenomatous polyp NOS|189597007|
[M]Adrenal cortical adenoma NOS|189646008|
[M]Ameloblastoma NOS|189902002|
[M]Androblastoma NOS|189737007|
[M]Angiolipoma NOS|189780003|
[M]Astrocytoma NOS|38713004|
[M]Basal cell carcinoma NOS|189573003|
[M]Blue nevus NOS|189757006|
[M]Brenner tumor NOS|189819001|
[M]Bronchial adenoma NOS|189617001|
[M]Burkitt's tumor NOS|190023003|
[M]Carcinoid tumor NOS|189608001|
[M]Carcinoma NOS|189549006|
[M]Carcinoma, anaplastic type, NOS|189553008|
[M]Carcinoma, metastatic, NOS|189550006|
[M]Carcinoma, undifferentiated type, NOS|189552003|
[M]Carcinosarcoma NOS|189808004|
[M]Cementoma NOS|189899000|
[M]Chondroblastoma NOS|189887007|
[M]Chondroma NOS|189885004|
[M]Chondromatosis NOS|83944004|
[M]Chondrosarcoma NOS|189886003|
[M]Choriocarcinoma|44769000|
[M]Choroid plexus papilloma NOS|18021007|
[M]Clear cell adenocarcinoma NOS|189633003|
[M]Comedocarcinoma NOS|189709000|
[M]Cystadenocarcinoma NOS|189681005|
[M]Cystadenoma NOS|47620003|
[M]Dermatofibroma NOS|302843004|
[M]Embryonal carcinoma NOS|189843003|
[M]Endometrioid adenoma NOS|71106006|
[M]Ependymoma NOS|189913004|
[M]Fibroadenoma NOS|189820007|
[M]Fibroma NOS|189768006|
[M]Fibrosarcoma NOS|53654007|
[M]Fibrous histiocytoma NOS|189769003|
[M]Follicular adenocarcinoma NOS|189642005|
[M]Gastrinoma NOS|134156006|
[M]Giant cell tumor of bone NOS|189891002|
[M]Giant cell tumor of soft parts NOS|189892009|
[M]Glioblastoma NOS|269506004|
[M]Glucagonoma NOS|134155005|
[M]Granular cell tumor NOS|189954007|
[M]Granulosa cell tumor NOS|189734000|
[M]Hemangioendothelioma NOS|189865003|
[M]Hemangioma NOS|189863005|
[M]Hepatocellular carcinoma NOS|25370001|
[M]Hodgkin's disease NOS|309831004|
[M]Hodgkin's disease, lymphocytic predominance|189988001|
[M]Hodgkin's disease, nodular sclerosis NOS|134178004|
[M]Hodgkin's disease, nodular sclerosis, mixed cellularity|189990000|
[M]Hydatidiform mole NOS|189856005|
[M]Insulinoma NOS|134154009|
[M]Intraductal carcinoma, non-infiltrating NOS|189705006|
[M]Intraductal papillomatosis NOS|189710005|
[M]Large cell carcinoma NOS|189551005|
[M]Leiomyoma NOS|189788005|
[M]Leiomyosarcoma NOS|189790006|
[M]Leukemia NOS|190025005|
[M]Leydig cell tumor NOS|189739005|
[M]Lipoma NOS|189776008|
[M]Liposarcoma NOS|189777004|
[M]Lobular carcinoma NOS|189713007|
[M]Luteoma NOS|189733006|
[M]Lymphangioma NOS|189875000|
[M]Lymphoid leukemia NOS|32280000_1217893010|
[M]Malignant lymphoma, diffuse NOS|189960007|
[M]Malignant lymphoma, immunoblastic type|78010001_1234197011|
[M]Malignant lymphoma, large cell, diffuse NOS|46732000_1230392016|
[M]Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse|74654000_1233776011|
[M]Malignant lymphoma, small lymphocytic NOS|64575004|
[M]Malignant melanoma NOS|269503007|
[M]Mastocytoma NOS|190020000|
[M]Medullary carcinoma NOS|189711009|
[M]Medulloblastoma NOS|189921005|
[M]Medulloepithelioma NOS|189932005|
[M]Meningioma NOS|189945009|
[M]Meningiomatosis NOS|189942007|
[M]Mucinous cystadenocarcinoma NOS|189692006|
[M]Mucinous cystadenoma NOS|67182003|
[M]Myeloid leukemia NOS|37810007|
[M]Myxoma NOS|39143003|
[M]Nephroblastoma NOS|31470003_1227517019|
[M]Neuroblastoma NOS|269507008|
[M]Neurofibroma NOS|189947001|
[M]Neurofibromatosis NOS|81669005|
[M]Neuroma NOS|189950003|
[M]Odontogenic tumor NOS|189904001|
[M]Odontoma NOS|189901009|
[M]Oligodendroglioma NOS|189920006|
[M]Osteoblastoma|55333008|
[M]Osteochondromatosis NOS|134170006|
[M]Osteoma NOS|134169005|
[M]Osteosarcoma NOS|21708004|
[M]Papillary adenocarcinoma NOS|189621008|
[M]Papillary adenoma NOS|189620009|
[M]Papillary carcinoma NOS|189562005|
[M]Papillary cystadenocarcinoma, NOS|189687009|
[M]Papillary cystadenoma NOS|189686000|
[M]Papillary mucinous cystadenoma NOS|189693001|
[M]Papillary serous cystadenoma NOS|189688004|
[M]Papillomatosis NOS|189564006|
[M]Paraganglioma NOS|189743009|
[M]Phaeochromocytoma NOS|85583005|
[M]Pigmented nevus NOS|276499003|
[M]Pilomatrixoma|44155009|
[M]Precancerous melanosis NOS|189754004|
[M]Refractory anemia with excess of blasts|128847002|
[M]Refractory anemia with excess of blasts with transformation|128848007|
[M]Reticulosarcoma NOS|189982000|
[M]Retinoblastoma NOS|189935007|
[M]Rhabdomyoma NOS|134165004|
[M]Rhabdomyosarcoma NOS|134166003|
[M]Sarcoma NOS|189764008|
[M]Sarcomatosis NOS|189765009|
[M]Seminoma NOS|189841001|
[M]Serous cystadenocarcinoma, NOS|189685001|
[M]Serous cystadenoma NOS|189684002|
[M]Small cell carcinoma NOS|189555001|
[M]Solid carcinoma NOS|189606002|
[M]Spindle cell melanoma NOS|189756002|
[M]Spongioblastoma NOS|189916007|
[M]Squamous cell carcinoma in situ NOS|59529006|
[M]Squamous cell carcinoma NOS|189566008|
[M]Squamous cell carcinoma, keratinizing type NOS|18048008|
[M]Squamous cell carcinoma, metastatic NOS|189567004|
[M]Struma ovarii NOS|189851000|
[M]Subacute leukemia NOS|190026006|
[M]Sweat gland tumor NOS|189665000|
[M]Synovial sarcoma NOS|63211008|
[M]Syringoma NOS|134158007|
[M]Teratoma NOS|189846006|
