37373007|Meckel's diverticulum (disorder)|C12264|Meckel Diverticulum|
204878001|Undescended testicle (disorder)|C12326|Undescended Testis|
88400008|Tumor cells, malignant|C12917|Malignant Cell|
39577004|Tumor cells, uncertain whether benign or malignant|C12922|Neoplastic Cell|
330469005|Sentinel node (disorder)|C12947|Sentinel Lymph Node|
331460002|Signal node (disorder)|C12947|Sentinel Lymph Node|
332457007|Virchow's node (disorder)|C12947|Sentinel Lymph Node|
33839006|Genital herpes simplex (disorder)|C14364|Genital Herpes|
402916007|Human immunodeficiency virus (HIV) seropositivity (disorder)|C15175|HIV Positivity|
26416006|Drug abuse (disorder)|C16522|Drug Abuse|
66214007|Substance abuse (disorder)|C16522|Drug Abuse|
31438003|Drug resistance (disorder)|C16523|Drug Resistance Process|
64579005|Carcinogen effect in offspring (disorder)|C18012|Carcinogen Effect in Offspring|
66214007|Substance abuse (disorder)|C18272|Substance Abuse|
15167005|Alcohol abuse (disorder)|C20701|Alcohol Abuse|
88320008|Drug tolerance (disorder)|C21130|Drug Tolerance|
247467008|Comedone (disorder)|C26453|Comedo|
405736009|Accidental antepartum hemorrhage (disorder)|C26685|Premature Separation of Placenta|
415105001|Placental abruption (disorder)|C26685|Premature Separation of Placenta|
402599005|Acanthosis nigricans (disorder)|C26687|Acanthosis Nigricans|
72129000|Acquired acanthosis nigricans (disorder)|C26687|Acanthosis Nigricans|
6655004|Acute laryngitis (disorder)|C26688|Acute Laryngitis|
363732003|Addison's disease (disorder)|C26689|Addison's Disease|
373662000|Primary adrenocortical insufficiency (disorder)|C26689|Addison's Disease|
30171000|Disorder of adrenal gland (disorder)|C26690|Adrenal Gland Disorder|
111563005|Adrenal hypofunction (disorder)|C26691|Adrenal Gland Insufficiency|
237785004|Hypoadrenalism (disorder)|C26691|Adrenal Gland Insufficiency|
386584007|Adrenal cortical hypofunction (disorder)|C26691|Adrenal Gland Insufficiency|
234621005|Factor I deficiency (disorder)|C26692|Factor I Deficiency|
278504009|Afibrinogenemia (disorder)|C26692|Factor I Deficiency|
359727008|Fibrinogen deficiency (disorder)|C26692|Factor I Deficiency|
9406001|Dissecting aneurysm of artery (disorder)|C26694|Dissecting Aneurysm|
32110003|Disorder of anus (disorder)|C26695|Anal Disorder|
67362008|Aortic aneurysm (disorder)|C26697|Aortic Aneurysm|
372937009|Suppurative arthritis due to bacteria (disorder)|C26699|Bacterial Arthritis|
372938004|Acute suppurative arthritis due to bacteria (disorder)|C26699|Bacterial Arthritis|
372939007|Suppurative arthritis (disorder)|C26699|Bacterial Arthritis|
372940009|Acute suppurative arthritis (disorder)|C26699|Bacterial Arthritis|
48245008|Bacterial arthritis (disorder)|C26699|Bacterial Arthritis|
396234004|Infective arthritis (disorder)|C26700|Infective Arthritis|
233917008|Atrioventricular block (disorder)|C26703|Atrioventricular Block|
53084003|Bacterial pneumonia (disorder)|C26704|Bacterial Pneumonia|
44882003|Balanitis (disorder)|C26705|Balanitis|
57044006|Cyst of Bartholin's gland duct (disorder)|C26706|Bartholin Cyst|
70650003|Urinary bladder stone (disorder)|C26707|Bladder Stone|
79604008|Disorder of breast (disorder)|C26709|Breast Disorder|
396285007|Bronchopneumonia (disorder)|C26710|Bronchopneumonia|
78048006|Candidiasis (disorder)|C26711|Candidiasis|
72495009|Mucinous adenocarcinoma|C26712|Mucinous Adenocarcinoma|
193570009|Cataract (disorder)|C26713|Cataract|
275404008|Celiac rickets (disorder)|C26714|Celiac Disease|
396331005|Celiac disease (disorder)|C26714|Celiac Disease|
128045006|Cellulitis (disorder)|C26715|Cellulitis|
37610005|Inflammation of cervix (disorder)|C26716|Cervicitis|
1482004|Chalazion (disorder)|C26717|Chalazion|
82403002|Cholangitis (disorder)|C26718|Cholangitis|
201637001|Chondrocalcinosis due to pyrophosphate crystals (disorder)|C26719|Chondrocalcinosis|
239832006|Calcium pyrophosphate deposition disease (disorder)|C26719|Chondrocalcinosis|
239838005|Chondrocalcinosis (disorder)|C26719|Chondrocalcinosis|
239839002|Idiopathic chondrocalcinosis (disorder)|C26719|Chondrocalcinosis|
60782007|Pseudogout (disorder)|C26719|Chondrocalcinosis|
11612004|Chorioamnionitis (disorder)|C26720|Chorioamnionitis|
41788008|Hemophilia B (disorder)|C26721|Hemophilia B|
63480004|Chronic bronchitis (disorder)|C26722|Chronic Bronchitis|
64226004|Colitis (disorder)|C26723|Colitis|
123971006|Colles' fracture (disorder)|C26724|Colles' Fracture|
23238000|Common variable agammaglobulinemia (disorder)|C26725|Common Variable Immunodeficiency|
189822004|Contagious disease (disorder)|C26726|Infectious Disorder|
190563008|Transmissible disease (disorder)|C26726|Infectious Disorder|
191415002|Communicable disease (disorder)|C26726|Infectious Disorder|
40733004|Infectious disease (disorder)|C26726|Infectious Disorder|
213146005|Complication of transplanted organ (disorder)|C26727|Transplanted Organ Complication|
21117005|Conjunctival hemorrhage (disorder)|C26728|Conjunctival Hemorrhage|
105969002|Disorder of connective tissue (disorder)|C26729|Connective Tissue Disorder|
85848002|Corneal abrasion (disorder)|C26730|Corneal Abrasion|
15250008|Disorder of cornea (disorder)|C26731|Corneal Disorder|
53741008|Coronary arteriosclerosis (disorder)|C26732|Coronary Artery Disease|
73013002|Cranial nerve disorder (disorder)|C26733|Cranial Nerve Disorder|
190268003|Congenital hypothyroidism (disorder)|C26734|Congenital Hypothyroidism|
217710005|Congenital iodine deficiency syndrome (disorder)|C26734|Congenital Hypothyroidism|
75065003|Endemic cretinism (disorder)|C26734|Congenital Hypothyroidism|
71186008|Croup (disorder)|C26735|Croup|
30911005|Cryoglobulinemia (disorder)|C26736|Cryoglobulinemia|
38822007|Cystitis (disorder)|C26738|Cystitis|
60700002|Sensorineural hearing loss (disorder)|C26739|Sensorineural Deafness|
34095006|Dehydration (disorder)|C26740|Dehydration|
111196000|Dermatitis herpetiformis (disorder)|C26742|Dermatitis Herpetiformis|
40275004|Contact dermatitis (disorder)|C26743|Contact Dermatitis|
396230008|Dermatomyositis (disorder)|C26744|Dermatomyositis|
47382004|Dermatophytosis (disorder)|C26745|Dermatophytosis|
201441006|Scleroderma (disorder)|C26746|Scleroderma|
89155008|Systemic sclerosis (disorder)|C26746|Scleroderma|
44054006|Diabetes mellitus type 2 (disorder)|C26747|Type 2 Diabetes Mellitus|
230572002|Diabetic neuropathy (disorder)|C26748|Diabetic Neuropathy|
253005002|Vasoactive intestinal peptide-secreting tumor (disorder)|C26749|VIP-Producing Neuroendocrine Tumor|
108367008|Dislocation of joint (disorder)|C26750|Joint Dislocation|
308546005|Dissection of aorta (disorder)|C26751|Dissecting Aortic Aneurysm|
307496006|Diverticulitis (disorder)|C26752|Diverticulitis|
367474008|Common duodenal ulcer (disorder)|C26755|Duodenal Ulcer|
51868009|Duodenal ulcer disease (disorder)|C26755|Duodenal Ulcer|
25906001|Disorder of ear (disorder)|C26757|Ear Disorder|
414086009|Embolism (disorder)|C26759|Embolism|
45170000|Encephalitis (disorder)|C26760|Encephalitis|
186499007|Encephalitis lethargica (disorder)|C26761|Encephalitis Lethargica|
31354001|Endocervicitis (disorder)|C26762|Endocervicitis|
22611009|Endometriosis of fallopian tube (disorder)|C26763|Fallopian Tube Endometriosis|
78623009|Endometritis (disorder)|C26764|Endometritis|
64613007|Enteritis, inflammatory disorder of small intestine (disorder)|C26765|Enteritis|
12441001|Epistaxis (disorder)|C26766|Epistaxis|
389061006|Nasal hemorrhage (disorder)|C26766|Epistaxis|
371405004|Disorder of eye proper (disorder)|C26767|Eye Disorder|
371409005|Disorder of eye region (disorder)|C26767|Eye Disorder|
60113004|Disorder of eyelid (disorder)|C26768|Eyelid Disorder|
280816001|Facial palsy (disorder)|C26769|Facial Nerve Paralysis|
46382007|Peripheral nerve facial nerve paralysis (disorder)|C26769|Facial Nerve Paralysis|
46981006|Factor XII deficiency disease (disorder)|C26770|Factor XII Deficiency|
128134005|Fallopian tube disorder (disorder)|C26771|Fallopian Tube Disorder|
238888007|Fat necrosis (disorder)|C26772|Fat Necrosis|
71620000|Fracture of femur (disorder)|C26774|Femur Fracture|
238810007|Flushing (disorder)|C26775|Flushing|
82065001|Fracture of carpal bone (disorder)|C26777|Carpal Bone Fracture|
134291007|Multiple fractures (disorder)|C26778|Multiple Fractures|
263253007|March fracture (disorder)|C26779|Stress Fracture|
4556007|Gastritis (disorder)|C26780|Gastritis|
235595009|Gastroesophageal reflux disease (disorder)|C26781|Gastroesophageal Reflux Disease|
23986001|Glaucoma (disorder)|C26782|Glaucoma|
36171008|Glomerulonephritis (disorder)|C26784|Glomerulonephritis|
3716002|Goiter (disorder)|C26785|Goiter|
236682002|Gonococcal urethritis (disorder)|C26787|Gonococcal Urethritis|
191352003|Congenital dysphagocytosis (disorder)|C26788|Chronic Granulomatous Disease|
387759001|Chronic granulomatous disease (disorder)|C26788|Chronic Granulomatous Disease|
61500009|Granulomatous prostatitis (disorder)|C26789|Granulomatous Prostatitis|
128085000|Infectious neuronitis (disorder)|C26790|Acute Infective Polyneuritis|
129131007|Acute infective polyneuritis (disorder)|C26790|Acute Infective Polyneuritis|
193174005|Post-infectious polyneuritis (disorder)|C26790|Acute Infective Polyneuritis|
40956001|Guillain-Barre syndrome (disorder)|C26790|Acute Infective Polyneuritis|
70153002|Hemorrhoids (disorder)|C26792|Hemorrhoid|
82985000|Hemorrhoids without complication (disorder)|C26792|Hemorrhoid|
65617004|Veno-occlusive disease of the liver (disorder)|C26793|Liver Veno-Occlusive Disease|
263225007|Fracture of proximal end of femur (disorder)|C26794|Hip Fracture|
5913000|Fracture of neck of femur (disorder)|C26794|Hip Fracture|
66308002|Fracture of humerus (disorder)|C26795|Humerus Fracture|
43064006|Hydronephrosis (disorder)|C26796|Hydronephrosis|
80394007|Hyperglycemia (disorder)|C26797|Hyperglycemia|
190859005|Hypophosphatasia (disorder)|C26798|Hypophosphatasia|
360792001|Deficiency of alkaline phosphatase (disorder)|C26798|Hypophosphatasia|
73975000|Factor II deficiency (disorder)|C26799|Factor II Deficiency|
40930008|Hypothyroidism (disorder)|C26800|Hypothyroidism|
85919009|Disorder of intestine (disorder)|C26801|Intestinal Disorder|
792004|Jakob-Creutzfeldt disease (disorder)|C26802|Creutzfeldt-Jacob Disease|
190710003|Tuberculous arthritis (disorder)|C26804|Joint Tuberculosis|
367488007|Tuberculosis of joint (disorder)|C26804|Joint Tuberculosis|
5888003|Keratitis (disorder)|C26805|Keratitis|
65636009|Keratoconus (disorder)|C26806|Keratoconus|
95570007|Kidney stone (disorder)|C26807|Renal Stone|
14669001|Acute renal failure syndrome (disorder)|C26808|Acute Renal Failure|
31053003|Disorder of lacrimal system (disorder)|C26809|Lacrimal System Disorder|
60600009|Disorder of the larynx (disorder)|C26810|Laryngeal Disorder|
45913009|Laryngitis (disorder)|C26811|Laryngitis|
10810001|Disorder of lens (disorder)|C26812|Lens Disorder|
277604002|Acute eosinophilic leukemia (disorder)|C26813|Acute Eosinophilic Leukemia|
22255007|Progressive multifocal leukoencephalopathy (disorder)|C26815|Progressive Multifocal Leukoencephalopathy|
84828003|Leukopenia (disorder)|C26816|Leukopenia|
25674000|Lichen sclerosus et atrophicus (disorder)|C26817|Lichen Sclerosus et Atrophicus|
90678009|Disorder of lip (disorder)|C26818|Lip Disorder|
7119001|Cutaneous lupus erythematosus (disorder)|C26819|Cutaneous Lupus Erythematosus|
200938002|Discoid lupus erythematosus (disorder)|C26820|Discoid Lupus Erythematosus|
238927000|Chronic discoid lupus erythematosus (disorder)|C26820|Discoid Lupus Erythematosus|
19471005|Lymphadenitis (disorder)|C26821|Lymphadenitis|
186946009|Lymphogranuloma venereum (disorder)|C26822|Lymphogranuloma Venereum|
48813009|Lymphocytopenia (disorder)|C26823|Lymphopenia|
263172003|Fracture of mandible (disorder)|C26824|Mandible Fracture|
49483002|Disorder of mediastinum (disorder)|C26826|Mediastinal Disorder|
47597000|Mediastinitis (disorder)|C26827|Mediastinitis|
7180009|Meningitis (disorder)|C26828|Meningitis|
267548000|Nonspecific mesenteric adenitis (disorder)|C26830|Mesenteric Lymphadenitis|
44897000|Mesenteric lymphadenitis (disorder)|C26830|Mesenteric Lymphadenitis|
373084004|Infection due to mycobacterium species (disorder)|C26831|Mycobacterial Infection|
88415009|Mycobacteriosis (disorder)|C26831|Mycobacterial Infection|
41370002|Myelitis (disorder)|C26832|Myelitis|
52845002|Nephritis (disorder)|C26833|Nephritis|
28689008|Interstitial nephritis (disorder)|C26834|Interstitial Nephritis|
118940003|Disorder of nervous system (disorder)|C26835|Nervous System Disorder|
2492009|Nutritional disorder (disorder)|C26836|Nutritional Disorder|
